formation_month,top_5,portfolio_return
2015-03,"URBN,CBRE,DGX,CCL,REGN",-0.05415131918322771
2015-04,"NFLX,RIG,MAT,NBR,FCX",-0.04609485004001459
2015-05,"HUM,AVGO,SWKS,EXPE,CI",-0.01730226894761846
2015-06,"CI,TRIP,CAG,WMB,HCA",-0.04819797035379294
2015-07,"AMZN,CMG,NFLX,GOOGL,GOOG",-0.021396267709022542
2015-08,"BBY,NVDA,SYY,FSLR,MSI",0.007487745361685972
2015-09,"TAP,NI,NVDA,WEC,NKE",0.060118731797963475
2015-10,"KLAC,FSLR,TRIP,WYNN,ADSK",0.0022112068638683756
2015-11,"QRVO,NSC,CNX,DLTR,ADSK",-0.047998436886887166
2015-12,"DXC,FSLR,DRI,KR,AVGO",-0.026265505940519508
2016-01,"RRC,EQT,M,TPR,NEM",0.02399661311298553
2016-02,"FCX,FOSL,NEM,WYNN,CF",0.06797677850864241
2016-03,"MUR,DVN,RRC,FCX,HPE",0.2712894345549878
2016-04,"MUR,RRC,FCX,CNX,NEM",-0.08615630298607235
2016-05,"NVDA,EA,OKE,AMAT,MU",0.03213414811558497
2016-06,"CCEP,HSY,RIG,NEM,SJM",0.016644606600076696
2016-07,"EBAY,STX,GRMN,AAL,STT",0.015837079562649903
2016-08,"DHR,NTAP,MU,URBN,WMB",0.0278900481758211
2016-09,"APA,WDC,MUR,STX,HP",-0.07496594715131225
2016-10,"AKAM,NFLX,KEY,VLO,AAL",0.061205277210751155
2016-11,"FCX,NAVI,RIG,URI,LNC",0.00850195546288517
2016-12,"NVDA,RIG,EW,WHR,MU",0.011957402468832834
2017-01,"NRG,CSX,FCX,ILMN,SWKS",-0.012639636048966918
2017-02,"XRX,HAS,TDG,CBRE,AMP",-0.029583784420831226
2017-03,"MU,FMC,VRTX,WYNN,HRB",0.04881597449682844
2017-06,"SIG,AYI,NAVI,HRB,JWN",-0.02799368018290387
2017-07,"NRG,BA,FCX,NFLX,VRTX",0.006317475290833397
2017-08,"ILMN,RL,CPRI,MU,FMC",0.0756457376623411
2017-09,"HP,MU,CF,HES,HAL",0.02585251185773818
2017-10,"ALGN,INTC,ADBE,NVDA,AMZN",0.02970821212497079
2017-11,"FL,QCOM,MAT,NTAP,M",-0.01048822996620331
2017-12,"FCX,DVA,HAL,AKAM,COTY",0.04558191889177103
2018-01,"NFLX,STX,AMD,NVDA,AMZN",-0.00925664417132488
2018-02,"UAA,UA,TRIP,HPE,M",-0.017087095029847888
2018-03,"NRG,MPC,APA,HES,COP",0.06811465639768421
2018-04,"CMG,ULTA,OXY,VLO,PSX",0.04583674975967107
2018-05,"TRIP,ALGN,FL,AMD,MU",0.015410667004538992
2018-06,"DRI,HBI,CPB,KR,APA",0.0043894709876852065
2018-07,"AMD,IQV,HCA,GLW,AYI",0.12105598347870679
2018-08,"KDP,AMD,NKTR,ADSK,JWN",0.025807242470609504
2018-09,"AMD,EW,AVGO,CI,CAT",-0.1655599555788403
2018-10,"CBOE,HRL,OMC,JWN,GM",-0.025778948436400627
2018-11,"NWL,TRIP,ABBV,FL,ALK",-0.1199955277379026
2018-12,"NEM,AVGO,DLTR,CF,AZO",0.028119638362390887
2019-01,"XRX,GE,HES,AMD,NKTR",0.030326487971035498
2019-04,"QCOM,DIS,URI,IR,WYNN",-0.14587023013279715
2019-06,"DVA,WDC,APTV,FTI,WHR",0.07302317250937214
2019-08,"TGT,TSN,NWL,DG,WEC",0.019570520290238112
2019-09,"TPR,CPRI,MPC,PRGO,AAP",-0.014080949808243459
2019-10,"ALGN,BIIB,LEG,CNC,LRCX",0.049309347449902695
2019-11,"DXC,QRVO,FTNT,ADSK,DVA",0.03951622759918574
2019-12,"WDC,SWKS,FANG,TRIP,DVN",-0.09753950014740764
2020-01,"TDG,NOW,LEN,PHM,ROL",-0.07416950314720952
